CUSTOMERID,GENDER,ELDERLY,MARRIED,DEPENDENTS,CLIENT_HOUR,PHONESERVICE,SERVICO_INTERNET,SERVICO_SEGURANCA,TECNICAL_SUPORT,STREAMINGTV,CONTRACT_TYPE,PAYMENTMETHOD,PAYMENT_MONTH,FULL_PAYMENT,CHURN
8168-UQWWF,FEMALE,0,No,No,11,Yes,Fiber optic,No,No,Yes,Month-to-month,Bank transfer (automatic),65.60756321839081,1105.4,Yes
8865-TNMNX,MALE,0,Yes,Yes,10,Yes,DSL,No,No,No,One year,Mailed check,65.60756321839081,475.7,No
9489-DEDVP,FEMALE,0,Yes,Yes,70,Yes,DSL,Yes,No,Yes,Two year,Credit card (automatic),65.60756321839081,4872.35,No
9867-JCZSP,FEMALE,0,Yes,Yes,17,Yes,No,No internet service,No internet service,No internet service,One year,Mailed check,65.60756321839081,418.25,No
4671-VJLCL,FEMALE,0,No,No,63,Yes,DSL,Yes,Yes,Yes,Two year,Credit card (automatic),65.60756321839081,4861.45,No
4080-IIARD,FEMALE,0,Yes,No,13,Yes,DSL,Yes,Yes,Yes,Month-to-month,Electronic check,65.60756321839081,981.45,No
3714-NTNFO,FEMALE,0,No,No,49,Yes,Fiber optic,No,No,No,Month-to-month,Electronic check,65.60756321839081,3906.7,No
5948-UJZLF,MALE,0,No,No,2,Yes,DSL,No,No,No,Month-to-month,Mailed check,65.60756321839081,97.0,No
7760-OYPDY,FEMALE,0,No,No,2,Yes,Fiber optic,No,No,Yes,Month-to-month,Electronic check,65.60756321839081,144.15,Yes
7639-LIAYI,MALE,0,No,No,52,Yes,DSL,Yes,Yes,Yes,Two year,Credit card (automatic),65.60756321839081,4217.8,No
2954-PIBKO,FEMALE,0,Yes,Yes,69,Yes,DSL,Yes,Yes,No,Two year,Credit card (automatic),65.60756321839081,4254.1,No
8012-SOUDQ,FEMALE,1,No,No,43,Yes,Fiber optic,No,No,Yes,Month-to-month,Electronic check,65.60756321839081,3838.75,No
9420-LOJKX,FEMALE,0,No,No,15,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Credit card (automatic),65.60756321839081,1426.4,Yes
6575-SUVOI,FEMALE,1,Yes,No,25,Yes,DSL,Yes,Yes,Yes,Month-to-month,Credit card (automatic),65.60756321839081,1752.65,No
7495-OOKFY,FEMALE,1,Yes,No,8,Yes,Fiber optic,No,No,No,Month-to-month,Credit card (automatic),65.60756321839081,633.3,Yes
4667-QONEA,FEMALE,1,Yes,Yes,60,Yes,DSL,Yes,Yes,No,One year,Credit card (automatic),65.60756321839081,4456.35,No
1658-BYGOY,MALE,1,No,No,18,Yes,Fiber optic,No,No,Yes,Month-to-month,Electronic check,65.60756321839081,1752.55,Yes
8769-KKTPH,FEMALE,0,Yes,Yes,63,Yes,Fiber optic,Yes,No,Yes,One year,Credit card (automatic),65.60756321839081,6311.2,No
5067-XJQFU,MALE,1,Yes,Yes,66,Yes,Fiber optic,No,Yes,Yes,One year,Electronic check,65.60756321839081,7076.35,No
3957-SQXML,FEMALE,0,Yes,Yes,34,Yes,No,No internet service,No internet service,No internet service,Two year,Credit card (automatic),65.60756321839081,894.3,No
5954-BDFSG,FEMALE,0,No,No,72,Yes,Fiber optic,No,Yes,Yes,Two year,Credit card (automatic),65.60756321839081,7853.7,No
0434-CSFON,FEMALE,0,Yes,No,47,Yes,Fiber optic,No,No,Yes,Month-to-month,Electronic check,65.60756321839081,4707.1,No
1215-FIGMP,MALE,0,No,No,60,Yes,Fiber optic,No,No,Yes,Month-to-month,Bank transfer (automatic),65.60756321839081,5450.7,No
0526-SXDJP,MALE,0,Yes,No,72,No,DSL,Yes,No,No,Two year,Bank transfer (automatic),65.60756321839081,2962.0,No
0557-ASKVU,FEMALE,0,Yes,Yes,18,Yes,DSL,No,Yes,No,One year,Credit card (automatic),65.60756321839081,957.1,No
5698-BQJOH,FEMALE,0,No,No,9,Yes,Fiber optic,No,No,Yes,Month-to-month,Electronic check,65.60756321839081,857.25,Yes
5122-CYFXA,FEMALE,0,No,No,3,Yes,DSL,No,Yes,Yes,Month-to-month,Electronic check,65.60756321839081,244.1,No
8627-ZYGSZ,MALE,0,Yes,No,47,Yes,Fiber optic,No,No,No,One year,Electronic check,65.60756321839081,3650.35,No
3410-YOQBQ,FEMALE,0,No,No,31,Yes,dsl,No,Yes,Yes,Two year,Mailed check,65.60756321839081,2497.2,No
3170-NMYVV,FEMALE,0,Yes,Yes,50,Yes,No,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),65.60756321839081,930.9,No
7410-OIEDU,MALE,0,No,No,10,Yes,Fiber optic,Yes,No,No,Month-to-month,Mailed check,65.60756321839081,887.35,No
2273-QCKXA,MALE,0,No,No,1,Yes,dsl,No,Yes,No,Month-to-month,Mailed check,65.60756321839081,49.05,No
0731-EBJQB,FEMALE,0,Yes,Yes,52,Yes,No,No internet service,No internet service,No internet service,One year,Electronic check,65.60756321839081,1090.65,No
1891-QRQSA,MALE,1,Yes,Yes,64,Yes,Fiber optic,Yes,Yes,Yes,Two year,Bank transfer (automatic),65.60756321839081,7099.0,No
8028-PNXHQ,MALE,0,Yes,Yes,62,Yes,No,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),65.60756321839081,1424.6,No
5630-AHZIL,FEMALE,0,No,Yes,3,Yes,dsl,Yes,Yes,No,Month-to-month,Bank transfer (automatic),65.60756321839081,177.4,No
2673-CXQEU,FEMALE,1,No,No,56,Yes,Fiber optic,Yes,No,Yes,One year,Electronic check,65.60756321839081,6139.5,No
6416-JNVRK,FEMALE,0,No,No,46,Yes,DSL,No,No,No,One year,Credit card (automatic),65.60756321839081,2688.85,No
5590-ZSKRV,FEMALE,0,Yes,Yes,8,Yes,DSL,Yes,No,No,Month-to-month,Mailed check,65.60756321839081,482.25,No
0191-ZHSKZ,MALE,1,No,No,30,Yes,DSL,Yes,No,Yes,Month-to-month,Electronic check,65.60756321839081,2111.3,No
3887-PBQAO,FEMALE,0,Yes,Yes,45,Yes,No,No internet service,No internet service,No internet service,One year,Credit card (automatic),65.60756321839081,1216.6,No
5919-TMRGD,FEMALE,0,No,Yes,1,Yes,Fiber optic,No,No,Yes,Month-to-month,Electronic check,65.60756321839081,79.35,Yes
8108-UXRQN,FEMALE,0,Yes,Yes,11,No,DSL,Yes,No,Yes,Month-to-month,Electronic check,65.60756321839081,565.35,No
9191-MYQKX,FEMALE,0,Yes,No,7,Yes,Fiber optic,No,No,No,Month-to-month,Bank transfer (automatic),65.60756321839081,496.9,Yes
9919-YLNNG,FEMALE,0,No,No,42,Yes,Fiber optic,No,Yes,Yes,Month-to-month,Bank transfer (automatic),65.60756321839081,4327.5,No
0318-ZOPWS,FEMALE,0,Yes,No,49,Yes,No,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),65.60756321839081,973.35,No
4445-ZJNMU,MALE,0,No,No,9,Yes,Fiber optic,No,No,Yes,Month-to-month,Credit card (automatic),65.60756321839081,918.75,No
4808-YNLEU,FEMALE,0,Yes,No,35,Yes,DSL,Yes,No,Yes,One year,Bank transfer (automatic),65.60756321839081,2215.45,No
1862-QRWPE,FEMALE,0,Yes,Yes,48,Yes,No,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),65.60756321839081,1057.0,No
2796-NNUFI,FEMALE,0,Yes,Yes,46,Yes,No,No internet service,No internet service,No internet service,Two year,Mailed check,65.60756321839081,927.1,No
3016-KSVCP,MALE,0,Yes,No,29,No,DSL,No,No,Yes,Month-to-month,Mailed check,65.60756321839081,1009.25,No
4767-HZZHQ,MALE,0,Yes,Yes,30,Yes,Fiber optic,No,No,No,Month-to-month,Bank transfer (automatic),65.60756321839081,2570.2,No
2424-WVHPL,MALE,1,No,No,1,Yes,Fiber optic,No,Yes,No,Month-to-month,Electronic check,65.60756321839081,74.7,No
7233-PAHHL,MALE,0,Yes,Yes,66,Yes,DSL,Yes,Yes,Yes,Two year,Mailed check,65.60756321839081,5714.25,No
6067-NGCEU,FEMALE,0,No,No,65,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Credit card (automatic),65.60756321839081,7107.0,No
9848-JQJTX,MALE,0,No,No,72,Yes,Fiber optic,No,No,Yes,Two year,Bank transfer (automatic),65.60756321839081,7459.05,No
8637-XJIVR,FEMALE,0,No,No,12,Yes,Fiber optic,Yes,No,No,Month-to-month,Electronic check,65.60756321839081,927.35,Yes
9803-FTJCG,MALE,0,Yes,Yes,71,Yes,dsl,Yes,Yes,No,One year,Credit card (automatic),65.60756321839081,4748.7,No
0278-YXOOG,MALE,0,No,No,5,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Mailed check,65.60756321839081,113.85,Yes
3212-KXOCR,MALE,0,No,No,52,Yes,No,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),65.60756321839081,1107.2,No
4598-XLKNJ,FEMALE,1,Yes,No,25,Yes,Fiber optic,No,No,Yes,Month-to-month,Electronic check,65.60756321839081,2514.5,Yes
6380-ARCEH,MALE,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Mailed check,65.60756321839081,20.2,No
3679-XASPY,FEMALE,0,Yes,Yes,1,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Electronic check,65.60756321839081,19.45,No
7123-WQUHX,MALE,0,No,No,38,Yes,Fiber optic,No,Yes,Yes,One year,Bank transfer (automatic),65.60756321839081,3605.6,No
5386-THSLQ,FEMALE,1,Yes,No,66,No,DSL,No,No,Yes,One year,Bank transfer (automatic),65.60756321839081,3027.25,No
3192-NQECA,MALE,0,Yes,No,68,Yes,Fiber optic,No,Yes,Yes,Two year,Bank transfer (automatic),65.60756321839081,7611.85,Yes
6180-YBIQI,MALE,0,No,No,5,No,DSL,No,No,No,Month-to-month,Mailed check,65.60756321839081,100.2,No
6728-DKUCO,FEMALE,0,Yes,Yes,72,Yes,Fiber optic,Yes,No,Yes,One year,Electronic check,65.60756321839081,7303.05,No
9750-BOOHV,FEMALE,0,No,No,32,No,DSL,Yes,No,No,One year,Mailed check,65.60756321839081,927.65,No
8597-CWYHH,MALE,0,No,No,43,Yes,Fiber optic,No,No,Yes,One year,Mailed check,65.60756321839081,3921.3,No
2848-YXSMW,MALE,0,Yes,Yes,72,Yes,No,No internet service,No internet service,No internet service,Two year,Credit card (automatic),65.60756321839081,1363.25,No
0486-HECZI,MALE,0,Yes,No,55,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Electronic check,65.60756321839081,5238.9,Yes
4549-ZDQYY,FEMALE,0,No,No,52,Yes,DSL,Yes,Yes,No,One year,Credit card (automatic),65.60756321839081,3042.25,No
5712-AHQNN,FEMALE,0,No,No,43,Yes,Fiber optic,No,No,Yes,Month-to-month,Electronic check,65.60756321839081,3954.1,No
4846-WHAFZ,FEMALE,1,Yes,No,37,Yes,Fiber optic,No,No,No,Month-to-month,Electronic check,65.60756321839081,2868.15,Yes
5256-SKJGO,FEMALE,0,Yes,Yes,64,No,DSL,No,Yes,Yes,Two year,Electronic check,65.60756321839081,3423.5,No
3071-VBYPO,MALE,0,Yes,Yes,3,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Electronic check,65.60756321839081,248.4,No
9560-BBZXK,FEMALE,0,No,No,36,No,DSL,Yes,No,No,Two year,Bank transfer (automatic),65.60756321839081,1126.35,No
5299-RULOA,FEMALE,0,Yes,Yes,10,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Electronic check,65.60756321839081,1064.65,Yes
8402-OOOHJ,FEMALE,0,No,No,41,Yes,No,No internet service,No internet service,No internet service,Two year,Mailed check,65.60756321839081,835.15,No
9445-ZUEQE,MALE,0,Yes,Yes,27,Yes,Fiber optic,No,Yes,No,Month-to-month,Credit card (automatic),65.60756321839081,2151.6,No
1091-SOZGA,FEMALE,0,Yes,Yes,56,Yes,Fiber optic,No,No,Yes,One year,Credit card (automatic),65.60756321839081,5515.45,No
2928-HLDBA,FEMALE,0,No,No,6,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Mailed check,65.60756321839081,112.75,No
0404-SWRVG,MALE,0,No,No,3,Yes,Fiber optic,No,No,No,Month-to-month,Electronic check,65.60756321839081,229.55,Yes
6497-TILVL,FEMALE,0,Yes,Yes,7,Yes,DSL,Yes,No,No,Month-to-month,Mailed check,65.60756321839081,350.35,No
7219-TLZHO,FEMALE,0,Yes,Yes,4,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Mailed check,65.60756321839081,62.9,No
4622-YNKIJ,MALE,0,No,No,33,Yes,Fiber optic,Yes,Yes,Yes,Two year,Electronic check,65.60756321839081,3027.65,No
4412-YLTKF,FEMALE,1,No,No,27,Yes,Fiber optic,No,No,No,Month-to-month,Electronic check,65.60756321839081,2135.5,Yes
6734-PSBAW,MALE,0,Yes,No,72,Yes,No,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),65.60756321839081,1723.95,No
3930-ZGWVE,MALE,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Mailed check,65.60756321839081,19.75,No
2639-UGMAZ,MALE,1,No,No,71,No,DSL,Yes,No,Yes,One year,Electronic check,65.60756321839081,3985.35,No
2876-GZYZC,FEMALE,0,No,No,13,Yes,Fiber optic,No,No,No,Month-to-month,Electronic check,65.60756321839081,1215.65,No
6207-WIOLX,FEMALE,0,Yes,Yes,25,No,DSL,Yes,No,Yes,Month-to-month,Credit card (automatic),65.60756321839081,1502.65,Yes
8587-XYZSF,MALE,0,No,No,67,Yes,DSL,No,Yes,No,Two year,Bank transfer (automatic),65.60756321839081,3260.1,No
3091-FYHKI,MALE,0,No,No,1,No,DSL,No,No,No,Month-to-month,Electronic check,65.60756321839081,35.45,Yes
2372-HWUHI,MALE,0,No,No,2,Yes,DSL,No,No,No,Month-to-month,Electronic check,65.60756321839081,81.25,Yes
7799-LGRDP,FEMALE,0,No,No,43,Yes,No,No internet service,No internet service,No internet service,Two year,Credit card (automatic),65.60756321839081,1188.2,No
7850-VWJUU,FEMALE,0,No,No,23,Yes,Fiber optic,Yes,No,No,Month-to-month,Bank transfer (automatic),65.60756321839081,1778.5,No
3774-VBNXY,FEMALE,0,Yes,Yes,64,Yes,No,No internet service,No internet service,No internet service,Two year,Mailed check,65.60756321839081,1277.75,No
6217-KDYWC,MALE,0,No,Yes,57,Yes,No,No internet service,No internet service,No internet service,Two year,Mailed check,65.60756321839081,1170.55,No
0390-DCFDQ,FEMALE,1,Yes,No,1,Yes,Fiber optic,No,No,No,Month-to-month,Mailed check,65.60756321839081,70.45,Yes
3146-MSEGF,FEMALE,1,Yes,Yes,72,Yes,DSL,Yes,Yes,Yes,Two year,Credit card (automatic),65.60756321839081,6425.65,No
4080-OGPJL,FEMALE,0,No,No,8,Yes,DSL,Yes,Yes,No,Month-to-month,Electronic check,65.60756321839081,563.65,Yes
1095-WGNGG,FEMALE,0,Yes,No,61,Yes,Fiber optic,No,No,Yes,Two year,Bank transfer (automatic),65.60756321839081,5971.25,No
2636-SJDOU,MALE,0,No,No,64,Yes,Fiber optic,Yes,No,No,One year,Credit card (automatic),65.60756321839081,5289.05,No
1131-QQZEB,MALE,1,Yes,No,71,Yes,No,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),65.60756321839081,1756.2,No
5716-EZXZN,FEMALE,0,Yes,Yes,65,Yes,Fiber optic,Yes,Yes,Yes,Two year,Credit card (automatic),65.60756321839081,6416.7,No
6837-BJYDQ,MALE,0,No,No,3,Yes,No,No internet service,No internet service,No internet service,One year,Mailed check,65.60756321839081,61.35,No
2135-RXIHG,MALE,0,No,No,1,Yes,DSL,No,No,No,Month-to-month,Electronic check,65.60756321839081,45.65,Yes
6440-DKQGE,MALE,0,No,Yes,30,Yes,DSL,No,No,Yes,One year,Credit card (automatic),65.60756321839081,1929.95,No
3466-BYAVD,MALE,0,Yes,Yes,15,Yes,DSL,No,Yes,No,Month-to-month,Mailed check,65.60756321839081,1071.4,No
3780-YVMFA,FEMALE,0,Yes,Yes,8,Yes,DSL,No,Yes,Yes,Month-to-month,Electronic check,65.60756321839081,564.35,No
3874-EQOEP,MALE,0,No,No,7,Yes,Fiber optic,No,No,Yes,Month-to-month,Mailed check,65.60756321839081,655.5,Yes
1679-JRFBR,FEMALE,0,Yes,Yes,70,Yes,Fiber optic,Yes,No,Yes,One year,Credit card (automatic),65.60756321839081,7930.55,No
9073-ZZIAY,MALE,0,Yes,Yes,62,Yes,DSL,Yes,Yes,Yes,Two year,Electronic check,65.60756321839081,5215.25,No
3077-RSNTJ,FEMALE,0,Yes,Yes,6,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Mailed check,65.60756321839081,113.5,No
6551-GNYDG,FEMALE,0,Yes,Yes,14,Yes,Fiber optic,No,No,No,Month-to-month,Bank transfer (automatic),65.60756321839081,1152.8,No
9167-APMXZ,FEMALE,0,No,No,22,Yes,Fiber optic,No,No,Yes,Month-to-month,Bank transfer (automatic),65.60756321839081,1821.95,No
2749-CTKAJ,MALE,0,Yes,Yes,22,Yes,No,No internet service,No internet service,No internet service,One year,Mailed check,65.60756321839081,419.9,No
6371-NZYEG,MALE,0,Yes,Yes,16,Yes,DSL,Yes,No,Yes,Two year,Mailed check,65.60756321839081,1024.0,No
7554-NEWDD,MALE,0,No,No,10,Yes,No,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),65.60756321839081,251.6,No
8992-VONJD,FEMALE,0,No,Yes,13,Yes,DSL,Yes,No,No,Month-to-month,Electronic check,65.60756321839081,764.55,No
0867-MKZVY,FEMALE,0,Yes,No,20,,Fiber optic,Yes,No,No,Month-to-month,Electronic check,65.60756321839081,1592.35,Yes
4482-EWFMI,FEMALE,0,No,No,2,,Fiber optic,No,No,No,Month-to-month,Electronic check,65.60756321839081,135.2,No
4648-YPBTM,MALE,0,No,No,53,,DSL,No,Yes,No,Two year,Bank transfer (automatic),65.60756321839081,3958.25,No
2907-ILJBN,FEMALE,0,Yes,Yes,11,,No,No internet service,No internet service,No internet service,One year,Mailed check,65.60756321839081,233.9,No
6345-FZOQH,MALE,0,Yes,No,69,,No,No internet service,No internet service,No internet service,Two year,Mailed check,65.60756321839081,1363.45,No
3376-BMGFE,FEMALE,0,No,No,4,,Fiber optic,No,No,No,Month-to-month,Bank transfer (automatic),65.60756321839081,273.0,Yes
5997-OPVFA,MALE,0,Yes,No,72,,DSL,Yes,Yes,Yes,Two year,Bank transfer (automatic),65.60756321839081,6254.45,No
3445-HXXGF,MALE,1,Yes,No,58,,DSL,No,No,No,Month-to-month,Electronic check,65.60756321839081,2651.2,Yes
1159-WFSGR,FEMALE,0,Yes,Yes,16,,No,No internet service,No internet service,No internet service,Month-to-month,Electronic check,65.60756321839081,321.4,No
7654-YWJUF,MALE,0,Yes,No,43,,Fiber optic,Yes,Yes,No,One year,Bank transfer (automatic),65.60756321839081,3539.25,No
1875-QIVME,FEMALE,0,Yes,No,2,,Fiber optic,No,Yes,Yes,Month-to-month,Electronic check,65.60756321839081,242.8,Yes
6727-IOTLZ,MALE,0,Yes,No,14,,DSL,No,Yes,Yes,Two year,Mailed check,65.60756321839081,1181.75,No
0691-JVSYA,FEMALE,0,Yes,No,53,,Fiber optic,No,No,Yes,One year,Bank transfer (automatic),65.60756321839081,5000.2,Yes
5918-VUKWP,FEMALE,0,No,No,32,,No,No internet service,No internet service,No internet service,One year,Bank transfer (automatic),65.60756321839081,654.55,No
1744-JHKYS,FEMALE,0,Yes,No,34,,No,No internet service,No internet service,No internet service,Month-to-month,Electronic check,65.60756321839081,780.2,No
2656-FMOKZ,FEMALE,1,No,No,15,,Fiber optic,No,No,No,Month-to-month,Mailed check,65.60756321839081,1145.7,Yes
2070-FNEXE,FEMALE,1,No,No,7,,Fiber optic,Yes,No,No,Month-to-month,Bank transfer (automatic),65.60756321839081,503.6,Yes
5947-SGKCL,FEMALE,0,Yes,Yes,15,,Fiber optic,No,No,Yes,Month-to-month,Bank transfer (automatic),65.60756321839081,1559.25,No
3712-PKXZA,MALE,0,Yes,No,61,,No,No internet service,No internet service,No internet service,One year,Credit card (automatic),65.60756321839081,1252.0,No
6317-YPKDH,FEMALE,0,No,No,1,,DSL,No,No,No,Month-to-month,Bank transfer (automatic),65.60756321839081,29.95,Yes
6582-OIVSP,FEMALE,0,No,No,1,,DSL,No,No,No,Month-to-month,Mailed check,65.60756321839081,45.3,No
9367-WXLCH,MALE,0,No,No,8,,Fiber optic,No,No,No,Month-to-month,Bank transfer (automatic),65.60756321839081,662.65,Yes
5524-KHNJP,MALE,0,Yes,Yes,33,,DSL,Yes,No,Yes,One year,Credit card (automatic),65.60756321839081,2453.3,No
1918-ZBFQJ,FEMALE,0,No,No,13,,Fiber optic,No,No,No,Month-to-month,Electronic check,65.60756321839081,1111.65,Yes
1024-GUALD,FEMALE,0,Yes,No,1,,DSL,No,No,No,Month-to-month,Electronic check,65.60756321839081,24.8,Yes
4827-USJHP,MALE,0,No,No,20,,DSL,No,No,No,Month-to-month,Mailed check,65.60756321839081,1023.85,No
8167-GJLRN,MALE,0,No,No,3,,DSL,No,Yes,No,Month-to-month,Electronic check,65.60756321839081,82.15,No
0956-SYCWG,FEMALE,0,No,No,13,,No,No internet service,No internet service,No internet service,One year,Electronic check,65.60756321839081,244.8,No
8017-UVSZU,FEMALE,0,Yes,No,40,,DSL,No,No,No,Month-to-month,Credit card (automatic),65.60756321839081,2379.1,No
7100-FQPRV,MALE,0,Yes,Yes,43,,DSL,Yes,Yes,No,One year,Credit card (automatic),65.60756321839081,3173.35,No
2472-OVKUP,MALE,0,Yes,No,6,,Fiber optic,No,No,No,Month-to-month,Electronic check,65.60756321839081,531.0,Yes
2984-RGEYA,FEMALE,0,Yes,Yes,69,,No,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),65.60756321839081,1375.4,No
9680-NIAUV,FEMALE,0,Yes,Yes,72,,Fiber optic,Yes,No,Yes,Two year,Credit card (automatic),65.60756321839081,8129.3,No
2146-EGVDT,MALE,0,Yes,Yes,59,,No,No internet service,No internet service,No internet service,Two year,Credit card (automatic),65.60756321839081,1192.7,No
2604-IJPDU,FEMALE,0,Yes,No,20,,Fiber optic,Yes,Yes,Yes,Month-to-month,Electronic check,65.60756321839081,1901.65,No
9178-JHUVJ,MALE,0,Yes,Yes,24,,No,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),65.60756321839081,587.4,No
6168-YBYNP,MALE,0,No,No,59,,Fiber optic,No,Yes,Yes,Month-to-month,Electronic check,65.60756321839081,6519.75,No
7255-SSFBC,MALE,0,Yes,Yes,72,,Fiber optic,No,Yes,Yes,Two year,Bank transfer (automatic),65.60756321839081,8041.65,No
3645-DEYGF,MALE,0,No,Yes,1,,No,No internet service,No internet service,No internet service,Month-to-month,Mailed check,65.60756321839081,20.75,No
9323-HGFWY,FEMALE,0,Yes,No,27,,Fiber optic,Yes,Yes,Yes,One year,Credit card (automatic),65.60756321839081,2681.15,No
8544-GOQSH,FEMALE,0,No,No,14,,Fiber optic,No,Yes,No,Month-to-month,Credit card (automatic),65.60756321839081,1112.3,No
3363-DTIVD,MALE,0,Yes,Yes,71,,Fiber optic,Yes,No,Yes,Two year,Electronic check,65.60756321839081,7405.5,No
7018-WBJNK,MALE,0,No,Yes,13,,Fiber optic,No,No,Yes,Month-to-month,Credit card (automatic),65.60756321839081,1033.95,No
9142-KZXOP,MALE,0,No,No,44,,Fiber optic,No,No,No,Month-to-month,Credit card (automatic),65.60756321839081,2958.95,No
7674-YTAFD,FEMALE,0,No,No,33,,Fiber optic,No,Yes,No,One year,Bank transfer (automatic),65.60756321839081,2684.85,No
6348-SNFUS,MALE,0,Yes,Yes,72,,DSL,Yes,Yes,No,Two year,Credit card (automatic),65.60756321839081,4179.2,No
